State_And_County_FIPS_Code,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
54-87,15407,32,19.9,22.1,63.1,13.0,1.8,98.9,0.3,0.1,0.3,0.9,75.2,25.4,8.0,1.0,12.3,5.1,1.4,18.2,4.7,29.6,30.2,19.5,302.4,71.2,13.8,3597,401,1113,1157,653,0,0,13,23,1,6,1,0,0,9,2,5,0,2,0,5,35.4,24.3,37.0,14.0,2589,1
22-93,21150,86,16.1,28.0,60.0,10.8,1.2,49.9,49.9,0.1,0.1,0.9,75.6,19.7,11.4,2.4,15.3,6.4,1.1,23.9,11.3,50.9,35.1,30.4,219.5,58.7,6.0,3462,956,659,1094,1163,2,0,17,40,4,21,0,0,4,8,1,6,0,0,30,19,36.7,25.4,21.3,11.4,3499,1
47-101,11435,41,14.9,25.0,61.3,12.4,1.3,97.4,1.8,0.1,0.3,1.2,75.0,-1111.1,8.3,2.0,12.4,5.5,0.9,20.5,5.6,30.3,27.0,24.4,284.1,76.7,15.9,2349,496,494,721,590,1,2,6,15,1,7,1,0,3,7,4,2,0,2,2,3,-1111.1,-1111.1,-1111.1,6.5,1674,1
31-169,5436,9,10.3,22.0,53.3,20.3,4.3,99.4,0.0,0.3,0.1,1.2,77.8,16.8,5.3,1.1,8.3,1.8,1.8,19.3,5.9,14.9,26.0,23.4,131.0,30.1,-1111.1,747,92,85,341,189,0,2,8,7,1,2,1,0,0,2,0,1,0,1,0,0,24.4,27.1,19.7,8.8,650,2
55-83,37666,38,7.0,23.1,62.1,12.5,2.2,97.8,0.2,0.9,0.3,0.8,77.5,9.2,4.9,0.7,9.2,2.7,1.4,13.2,5.2,27.3,32.1,23.5,132.0,52.6,8.2,5067,1155,839,2480,1969,3,5,21,27,15,16,2,2,5,2,1,2,7,4,0,0,21.5,28.4,21.0,6.9,2893,2
20-131,10443,15,9.1,26.5,52.6,16.7,4.2,98.4,0.5,0.5,0.1,0.8,77.3,16.9,5.6,1.1,8.9,1.8,2.3,9.9,5.6,12.9,23.1,14.2,148.2,40.1,12.3,1118,197,147,644,510,0,5,4,14,0,4,0,0,0,2,0,0,6,2,0,0,31.4,21.9,11.4,3.9,986,2
31-159,16739,29,7.3,25.5,59.6,12.2,2.7,98.0,0.4,0.2,0.6,1.4,78.9,10.8,5.6,1.0,10.0,1.7,2.3,12.5,3.7,15.0,13.3,21.5,205.9,45.6,10.0,1297,289,252,1015,733,3,3,15,21,9,7,0,0,1,3,1,2,0,3,0,0,20.4,21.7,15.0,6.4,1235,2
46-49,2386,2,10.5,23.5,53.6,19.3,3.6,99.6,0.1,0.2,0.0,0.3,77.0,15.0,5.2,-1111.1,7.7,2.8,2.4,39.5,-1111.1,9.4,-1111.1,22.5,132.0,28.4,-1111.1,437,47,38,136,82,6,1,5,3,2,0,0,0,0,1,0,0,2,1,0,0,32.4,23.1,10.4,6.3,336,1
19-77,11547,20,8.3,21.9,59.5,15.6,3.0,99.5,0.1,0.0,0.1,1.9,79.1,15.0,6.4,0.7,9.6,2.5,1.2,13.1,1.7,22.0,20.3,23.1,135.2,51.3,15.6,1184,284,166,673,418,2,3,4,12,2,5,0,0,5,3,0,1,0,3,0,0,21.4,25.5,14.0,2.8,860,2
48-379,11305,49,14.2,21.5,61.1,15.5,1.9,95.1,3.0,0.9,0.6,7.8,75.1,-1111.1,7.2,1.3,11.8,6.9,0.9,17.1,11.1,29.4,23.4,17.9,168.8,89.7,12.8,2159,240,367,635,482,3,1,7,13,1,4,1,0,0,3,1,2,0,2,0,0,-1111.1,-1111.1,-1111.1,-1111.1,1706,1
