State_And_County_FIPS_Code,CHSI_State_Name,CHSI_County_Name,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
50-17,Vermont,Orange,29287,43,9.2,22.8,64.1,11.3,1.8,98.3,0.3,0.3,0.5,0.8,78.6,11.7,6.2,1.0,8.9,2.5,3.2,8.5,3.9,28.7,17.3,18.6,182.1,48.6,13.9,3219,525,908,1845,2672,7,3,13,20,0,7,1,0,2,3,1,1,41,7,1,1,21.4,19.9,20.6,5.5,2724,2
50-19,Vermont,Orleans,27640,40,13.2,22.0,62.7,12.9,2.4,97.6,0.5,0.5,0.4,1.0,77.0,14.5,4.8,0.8,8.0,2.5,1.4,12.3,2.9,37.0,26.8,22.1,187.2,48.3,13.8,4247,717,764,1754,2459,0,1,29,23,0,9,1,0,1,3,0,3,18,4,0,3,24.6,21.5,22.9,7.5,3631,2
50-21,Vermont,Rutland,63743,68,10.3,21.6,63.0,12.9,2.5,98.3,0.4,0.2,0.5,0.8,77.3,13.2,6.7,1.1,8.9,2.5,3.0,15.9,6.4,34.8,20.6,18.7,169.0,55.9,14.4,7029,1322,1370,4069,5769,13,6,40,48,4,13,5,3,16,6,7,6,12,13,3,0,21.4,21.6,22.8,6.3,5715,2
50-23,Vermont,Washington,59478,86,8.4,22.1,64.8,11.2,2.0,97.0,0.5,0.3,0.9,1.4,78.0,10.2,6.3,1.3,9.4,1.5,3.1,11.6,5.2,29.9,25.3,21.1,147.8,52.9,13.3,4811,1237,1297,3776,5395,9,9,39,44,4,12,4,3,3,6,4,3,86,15,2,0,18.5,19.3,20.9,6.0,5473,2
50-25,Vermont,Windham,44143,56,9.7,21.8,63.9,12.1,2.1,97.0,0.7,0.2,1.0,1.2,78.0,11.2,5.2,1.1,7.4,2.8,3.8,12.0,3.2,34.3,31.9,21.1,154.9,56.8,13.2,3981,858,983,2808,3844,3,4,26,27,2,4,1,2,2,4,5,4,103,7,0,2,18.7,18.6,19.9,4.8,4064,2
50-27,Vermont,Windsor,58028,60,8.7,20.8,62.9,13.8,2.5,97.8,0.4,0.2,0.8,1.0,79.0,12.0,6.6,0.8,8.9,2.3,3.3,11.4,3.4,31.9,23.9,20.5,139.7,44.6,15.1,5026,963,1262,3735,4951,9,6,47,37,2,9,5,3,11,6,1,6,36,9,0,3,18.7,18.4,19.5,5.1,4933,2
51-1,Virginia,Accomack,39424,87,15.4,24.1,59.6,14.3,2.1,69.1,29.5,0.4,0.6,7.9,74.9,23.0,10.3,2.3,14.6,6.2,1.4,29.4,8.8,52.3,45.7,21.0,156.1,67.1,11.1,8621,851,1099,2249,1842,1,2,91,31,17,23,0,2,8,10,7,6,9,4,3,6,33.3,26.0,21.3,12.7,7795,1
51-3,Virginia,Albemarle,90717,126,7.6,25.8,62.0,10.8,1.4,84.3,9.7,0.3,4.5,3.5,78.1,10.3,6.4,1.4,9.7,2.1,4.0,19.8,7.1,23.2,24.5,18.3,104.8,43.8,10.6,7287,1082,1454,5105,4709,17,13,90,63,12,17,7,4,9,8,9,4,216,21,1,0,18.3,16.5,17.1,4.4,7878,2
51-5,Virginia,Alleghany,16715,38,11.1,22.6,59.5,15.9,2.0,93.4,5.5,0.2,0.3,0.6,76.1,-,7.4,1.1,9.6,3.3,1.4,11.8,7.8,30.1,20.8,22.8,239.4,53.8,11.7,2680,347,433,972,742,0,2,21,33,1,15,0,2,0,3,4,5,0,2,0,3,-,-,-,11.8,1490,2
51-7,Virginia,Amelia,12273,34,9.7,23.9,61.9,12.4,1.8,74.8,24.5,0.3,0.1,0.8,76.7,-,8.3,1.3,12.5,4.8,2.1,13.3,9.7,31.3,33.0,26.5,166.0,70.1,9.7,2670,209,350,702,565,0,1,29,15,3,7,0,0,2,4,1,2,0,3,1,1,-,-,-,7.5,1291,1
51-9,Virginia,Amherst,32134,68,11.1,23.8,61.0,13.3,1.9,78.3,19.7,0.8,0.5,1.2,76.7,25.4,7.4,1.9,10.4,3.4,1.6,5.6,3.6,35.2,20.5,22.1,158.7,55.7,13.1,6401,619,572,1848,1559,0,3,25,19,3,3,2,2,2,3,1,3,0,5,0,2,27.4,-,27.4,15.5,3570,2
