State_And_County_FIPS_Code	CHSI_State_Name	CHSI_County_Name	Population_Size	Population_Density	Poverty	Age_19_Under	Age_19_64	Age_65_84	Age_85_and_Over	White	Black	Native_American	Asian	Hispanic	ALE	Health_Status	LBW	VLBW	Premature	Under_18	Over_40	Late_Care	Infant_Mortality	Unmarried	Brst_Cancer	Col_Cancer	CHD	Lung_Cancer	Suicide	No_HS_Diploma	Unemployed	Sev_Work_Disabled	Major_Depression	Recent_Drug_Use	Ecol_Rpt	Ecol_Exp	Salm_Rpt	Salm_Exp	Shig_Rpt	Shig_Exp	FluB_Rpt	FluB_Exp	HepA_Rpt	HepA_Exp	HepB_Rpt	HepB_Exp	Meas_Rpt	Meas_Exp	Pert_Rpt	Pert_Exp	CRS_Rpt	CRS_Exp	Syphilis_Rpt	Syphilis_Exp	No_Exercise	Few_Fruit_Veg	Obesity	High_Blood_Pres	Smoker	Diabetes	Uninsured	HPSA_Ind
20-103	Kansas	Leavenworth	73113	158.0	8.3	25.6	64.3	8.9	1.2	86.2	9.8	0.8	1.4	3.6	77.0	11.7	7.1	1.2	11.1	2.8	2.3	9.1	7.2	26.9	25.5	17.2	183.7	61.5	13.5	6515.0	2046.0	955.0	4559	3657	3.0	11.0	28.0	49.0	19.0	21.0	1.0	4.0	2.0	7.0	1.0	4.0	0.0	0.0	3.0	21.0	0.0	0.0	2.0	0.0	21.5	78.8	20.8	24.2	21.6	5.8	6040.0	2
20-111	Kansas	Lyon	35609	42.0	12.9	26.2	62.1	9.4	2.4	93.6	2.7	0.7	1.7	19.2	78.0	12.0	6.6	1.0	10.8	4.6	1.2	20.8	3.7	36.3	22.7	17.3	136.2	52.3	14.5	3928.0	917.0	548.0	2208	2044	4.0	4.0	17.0	25.0	3.0	9.0	0.0	0.0	1.0	4.0	1.0	2.0	0.0	0.0	5.0	9.0	0.0	0.0	0.0	2.0	27.2	79.4	24.4	18.5	19.6	7.0	5155.0	2
20-113	Kansas	McPherson	29523	33.0	8.0	24.2	58.9	13.9	3.0	97.4	1.0	0.3	0.4	2.3	79.0	11.6	6.9	1.3	10.5	2.8	1.9	10.1	5.2	22.1	28.2	14.1	150.6	37.9	10.4	2750.0	641.0	354.0	1880	1556	2.0	4.0	27.0	22.0	4.0	13.0	1.0	1.0	5.0	1.0	1.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	24.6	77.8	23.4	30.2	13.5	6.1	1828.0	2
20-121	Kansas	Miami	30496	53.0	8.0	26.0	62.5	9.9	1.7	96.2	1.6	0.6	0.3	1.8	76.9	14.8	7.7	0.9	10.5	2.4	2.5	7.8	6.7	26.4	31.6	17.3	213.5	43.0	16.3	2484.0	835.0	407.0	1893	1543	0.0	4.0	19.0	16.0	2.0	3.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	25.2	76.1	27.3	21.5	21.6	6.9	2325.0	2
20-125	Kansas	Montgomery	34570	54.0	13.8	24.4	57.7	14.5	3.3	87.0	6.2	3.3	0.7	3.1	75.6	18.9	8.1	1.6	13.4	5.0	1.4	14.9	12.2	39.7	21.6	25.4	171.4	68.3	18.3	4405.0	1013.0	772.0	2189	1699	1.0	2.0	13.0	29.0	3.0	9.0	0.0	0.0	2.0	4.0	0.0	4.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	30.5	80.8	28.0	29.3	27.1	9.1	4615.0	2
20-133	Kansas	Neosho	16529	29.0	13.0	24.8	58.1	14.2	3.0	96.2	1.1	0.8	0.4	2.8	76.4	18.8	8.3	1.3	13.1	4.0	1.3	12.8	5.6	32.4	14.7	20.7	177.2	64.3	13.5	1833.0	451.0	381.0	1043	825	0.0	2.0	24.0	22.0	3.0	5.0	0.0	0.0	20.0	14.0	0.0	5.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	5.0	32.7	81.9	24.7	28.9	19.2	9.4	2013.0	2
20-149	Kansas	Pottawatomie	19129	23.0	9.1	27.5	59.5	10.9	2.1	97.0	0.8	0.6	0.5	2.6	77.8	11.0	5.7	1.3	9.5	2.3	4.1	12.8	7.0	15.7	28.1	23.7	162.8	48.5	13.7	1319.0	440.0	258.0	1164	964	4.0	9.0	28.0	23.0	2.0	7.0	0.0	0.0	1.0	4.0	2.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	22.9	73.2	19.5	19.3	19.3	5.0	1887.0	2
20-155	Kansas	Reno	63558	51.0	12.5	24.0	59.5	13.7	2.9	94.6	2.9	0.7	0.6	6.2	77.6	15.6	7.3	1.3	11.8	3.5	1.5	15.2	6.2	35.5	26.5	18.7	125.6	50.4	12.1	7456.0	1657.0	1043.0	4043	3133	3.0	6.0	41.0	42.0	7.0	10.0	0.0	3.0	81.0	6.0	11.0	6.0	0.0	0.0	3.0	10.0	0.0	0.0	0.0	3.0	25.0	79.6	25.2	24.1	22.7	6.4	7423.0	2
20-161	Kansas	Riley	62826	103.0	14.2	23.5	68.3	6.7	1.5	86.7	6.9	0.6	3.7	4.6	79.8	7.3	5.5	0.8	9.7	1.7	1.3	12.1	8.4	14.7	21.3	15.6	125.4	44.9	8.4	1878.0	1302.0	754.0	4060	5080	5.0	3.0	48.0	53.0	2.0	19.0	1.0	0.0	3.0	6.0	0.0	3.0	0.0	0.0	5.0	3.0	0.0	0.0	1.0	6.0	14.3	77.9	14.7	15.7	16.1	3.3	7472.0	2
20-169	Kansas	Saline	53919	75.0	10.4	25.6	60.3	12.0	2.1	92.3	3.3	0.6	2.0	7.4	77.2	13.6	7.3	1.1	10.6	4.3	1.3	10.4	6.7	35.4	15.6	17.2	160.9	53.6	10.8	4622.0	1368.0	1013.0	3359	2674	0.0	5.0	40.0	40.0	0.0	11.0	1.0	3.0	1.0	5.0	3.0	5.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	23.0	75.8	21.7	21.5	23.9	4.9	6059.0	2
