State_And_County_FIPS_Code	CHSI_State_Name	CHSI_County_Name	Population_Size	Population_Density	Poverty	Age_19_Under	Age_19_64	Age_65_84	Age_85_and_Over	White	Black	Native_American	Asian	Hispanic	ALE	Health_Status	LBW	VLBW	Premature	Under_18	Over_40	Late_Care	Infant_Mortality	Unmarried	Brst_Cancer	Col_Cancer	CHD	Lung_Cancer	Suicide	No_HS_Diploma	Unemployed	Sev_Work_Disabled	Major_Depression	Recent_Drug_Use	Ecol_Rpt	Ecol_Exp	Salm_Rpt	Salm_Exp	Shig_Rpt	Shig_Exp	FluB_Rpt	FluB_Exp	HepA_Rpt	HepA_Exp	HepB_Rpt	HepB_Exp	Meas_Rpt	Meas_Exp	Pert_Rpt	Pert_Exp	CRS_Rpt	CRS_Exp	Syphilis_Rpt	Syphilis_Exp	No_Exercise	Few_Fruit_Veg	Obesity	High_Blood_Pres	Smoker	Diabetes	Uninsured	HPSA_Ind
40-23	Oklahoma	Choctaw	15297	20.0	22.0	25.4	57.8	14.3	2.6	69.6	11.0	15.0	0.2	2.2	73.2	26.3	7.5	1.1	13.5	8.9	0.7	28.6	7.8	43.6	34.5	18.8	266.0	66.1	17.3	3160.0	367.0	596.0	929	673	2.0	2.0	21.0	26.0	5.0	9.0	1.0	0.0	21.0	11.0	18.0	5.0	0.0	0.0	2.0	9.0	0.0	0.0	2.0	6.0	35.9	81.4	22.3	32.5	29.6	7.6	3523.0	2
17-119	Illinois	Madison	264309	365.0	10.6	25.0	61.1	11.9	2.0	90.2	7.9	0.3	0.7	1.9	75.7	13.8	7.8	1.4	13.1	3.6	1.6	15.4	7.8	35.0	25.0	22.8	188.6	64.4	13.6	27480.0	7435.0	4467.0	14404	16119	9.0	8.0	141.0	110.0	9.0	47.0	8.0	8.0	18.0	24.0	26.0	16.0	0.0	0.0	24.0	16.0	0.0	0.0	17.0	8.0	24.3	77.8	28.0	23.6	24.7	7.1	28044.0	2
21-227	Kentucky	Warren	98960	182.0	15.2	24.9	64.3	9.5	1.3	87.9	8.8	0.2	1.7	3.3	75.9	18.6	8.4	1.5	14.3	4.5	1.5	19.2	6.2	32.6	20.2	22.7	179.5	74.2	14.0	12181.0	2700.0	4727.0	6470	6226	7.0	5.0	51.0	79.0	57.0	28.0	0.0	0.0	52.0	9.0	22.0	5.0	0.0	0.0	1.0	5.0	0.0	0.0	1.0	9.0	28.0	75.0	22.6	23.5	27.1	7.7	11418.0	2
13-137	Georgia	Habersham	39603	142.0	12.1	24.9	61.0	12.4	1.7	92.6	3.8	0.6	2.4	10.6	76.4	24.6	6.9	1.1	9.7	5.9	1.4	15.5	7.6	28.7	33.5	15.3	169.9	62.4	13.2	7607.0	847.0	1135.0	2411	2061	4.0	4.0	30.0	22.0	4.0	4.0	4.0	2.0	19.0	4.0	5.0	4.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	2.0	31.2	74.5	20.8	26.6	25.0	6.5	5281.0	2
34-25	New Jersey	Monmouth	635952	1348.0	6.5	26.6	60.9	10.7	1.8	85.8	8.1	0.2	4.9	7.5	77.6	10.7	7.5	1.2	11.6	1.6	4.5	12.0	2.9	21.7	31.0	24.3	184.7	58.1	7.5	50996.0	12981.0	9634.0	32425	31125	9.0	19.0	204.0	245.0	29.0	75.0	13.0	19.0	37.0	75.0	53.0	38.0	0.0	0.0	23.0	57.0	0.0	0.0	7.0	19.0	22.1	72.5	17.1	25.2	20.3	5.5	60107.0	2
28-83	Mississippi	Leflore	36431	62.0	29.4	30.1	58.3	9.9	1.6	28.5	70.6	0.1	0.6	2.2	72.5	23.2	11.9	3.4	17.0	9.7	1.3	37.6	15.5	71.5	24.5	32.8	326.7	66.2	10.5	8123.0	1499.0	1135.0	2023	1808	1.0	0.0	48.0	35.0	27.0	17.0	0.0	0.0	1.0	4.0	2.0	4.0	0.0	0.0	1.0	2.0	0.0	0.0	6.0	6.0	49.5	86.3	30.7	39.6	25.5	11.9	8848.0	1
21-157	Kentucky	Marshall	30967	102.0	10.9	20.6	61.2	16.0	2.1	98.7	0.2	0.1	0.2	0.8	76.8	22.7	7.8	1.5	12.8	4.6	1.5	11.9	4.0	24.6	24.4	17.2	191.8	64.2	16.7	5120.0	945.0	1501.0	2128	1715	2.0	3.0	24.0	18.0	13.0	3.0	0.0	0.0	4.0	3.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	26.4	74.6	22.6	31.9	26.1	6.4	3271.0	2
51-59	Virginia	Fairfax	1006529	2548.0	5.8	26.5	64.7	7.9	0.9	72.5	9.3	0.3	15.5	12.2	80.9	7.5	6.5	1.1	10.2	1.3	4.9	14.5	4.7	17.1	24.9	16.0	92.5	37.2	7.3	62325.0	14902.0	7002.0	55685	44914	19.0	30.0	568.0	387.0	162.0	119.0	10.0	30.0	94.0	119.0	35.0	60.0	1.0	0.0	9.0	89.0	1.0	0.0	23.0	30.0	14.6	71.5	15.1	19.4	14.7	3.6	119712.0	2
37-161	North Carolina	Rutherford	63771	113.0	15.2	24.8	59.0	13.9	2.2	87.5	11.2	0.3	0.4	2.2	74.7	22.6	9.0	1.7	12.7	6.1	0.7	14.3	11.4	34.6	24.7	24.5	211.4	58.9	18.3	13001.0	2579.0	2234.0	3730	4121	5.0	6.0	42.0	41.0	47.0	9.0	1.0	3.0	0.0	6.0	1.0	6.0	0.0	0.0	3.0	9.0	0.0	0.0	0.0	3.0	30.7	72.4	19.4	28.0	20.6	5.3	8185.0	2
4-1	Arizona	Apache	69343	6.0	27.5	36.8	53.5	8.8	0.9	22.2	0.6	76.1	0.3	4.6	73.9	15.4	6.7	1.1	11.6	6.0	2.8	34.8	8.1	65.5	18.8	11.4	121.8	16.7	22.2	13318.0	2313.0	1323.0	3344	4052	1.0	7.0	126.0	58.0	95.0	27.0	30.0	7.0	4.0	10.0	1.0	10.0	0.0	0.0	12.0	27.0	0.0	0.0	9.0	3.0	22.6	64.6	24.6	18.4	14.3	7.5	17218.0	2
19-15	Iowa	Boone	26602	47.0	7.6	22.8	61.5	13.2	2.5	98.6	0.7	0.2	0.3	1.0	77.3	11.2	6.6	1.3	9.8	2.0	0.8	7.7	6.5	23.7	21.1	13.2	232.3	52.7	10.7	2031.0	574.0	498.0	1537	985	2.0	3.0	12.0	14.0	4.0	3.0	0.0	1.0	1.0	3.0	0.0	1.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	26.0	80.3	23.2	24.8	25.8	6.2	1556.0	2
36-85	New York	Richmond	464573	7944.0	10.1	25.3	63.0	10.1	1.6	80.3	10.8	0.4	7.3	14.3	77.0	17.0	7.7	1.4	11.7	1.9	3.7	12.1	5.0	27.5	29.7	21.5	359.8	53.4	6.0	54342.0	11713.0	10463.0	25927	26544	3.0	14.0	145.0	164.0	35.0	82.0	10.0	14.0	38.0	27.0	61.0	27.0	0.0	0.0	31.0	41.0	0.0	0.0	18.0	14.0	28.3	77.8	22.6	20.9	27.3	6.6	54159.0	2
30-47	Montana	Lake	28297	19.0	19.1	25.7	59.4	12.8	2.1	73.1	0.3	23.5	0.3	3.0	75.6	14.6	7.7	1.6	14.0	5.8	2.4	20.0	13.4	46.3	21.6	15.7	141.8	57.8	21.4	2935.0	619.0	688.0	1995	1501	2.0	5.0	17.0	24.0	0.0	16.0	0.0	0.0	2.0	8.0	0.0	7.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	22.3	75.8	20.8	24.3	23.6	5.6	5585.0	2
31-13	Nebraska	Box Butte	11374	11.0	11.4	26.0	59.1	12.7	2.3	94.5	0.5	3.2	0.6	9.1	78.3	14.9	5.2	0.8	9.6	4.3	1.1	17.1	6.9	30.0	23.7	23.7	232.1	49.5	14.1	904.0	233.0	177.0	680	415	0.0	1.0	12.0	17.0	11.0	7.0	0.0	0.0	2.0	5.0	1.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	22.7	80.3	28.1	21.0	27.8	5.8	1549.0	2
